"VarName","TimeString","VarValue","Validity","Time_ms"
"M_May_Vo","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"M_May_Say","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"M_May_Sang","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"M_May_Dong_Goi","11/25/2024 12:04:36 PM",0,1,45621503195.6366
"$RT_OFF$","11/25/2024 12:06:16 PM",0,2,45621504353.9236
"$RT_OFF$","11/25/2024 12:08:04 PM",0,2,45621505599.3634
"$RT_OFF$","11/25/2024 12:10:46 PM",0,2,45621507472.7546
"$RT_OFF$","11/25/2024 12:12:37 PM",0,2,45621508757.0139
"$RT_OFF$","11/27/2024 8:30:23 PM",0,2,45623854432.8704
"$RT_OFF$","11/27/2024 8:33:06 PM",0,2,45623856318.4144
"$RT_COUNT$",251,,,,
